id,classification_id,annotation,workflow_id,user_id,subject_id,event_time,gravityspy_id,ifo,main_channel_name,event_generator,annotation_channel_names,hveto_round_number
78,420780666,"{0,2}",21793,386563,76085007,1262379405.09375,4zUPUWcfy2AvFlsKWoTM,L1,L1:GDS-CALIB_STRAIN,None,"{L1:IMC-REFL_DC_OUT_DQ,L1:LSC-PRCL_OUT_DQ}",11
79,431613960,"{0,1,2}",21793,2436154,79008479,1262813589.4375,hJjNUFVj8h4mGUym1St9,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
324,437065838,{},21793,1494023,79008486,1262814241.4375,v7PTMKTSIX3bfo5EJVvB,H1,H1:GDS-CALIB_STRAIN,None,{},1
80,431613991,"{0,1,2}",21793,2436154,79008494,1262807482.625,nTEknDf9kiq0q6cx4INd,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
81,431614004,"{0,1,2}",21793,2436154,79008482,1262806175.8125,3j8Pfz2Rw7DXVRrpAovN,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
82,431614031,"{0,1,2}",21793,2436154,79008488,1262795817.9375,safmZSDyRNQfjee9KmfU,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
83,431614074,"{0,1,2}",21793,2436154,79008474,1262796455.125,i9t3EFYyJmNCi2xdJlvn,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,H1:ASC-DHARD_P_OUT_DQ,H1:ASC-AS_B_RF45_I_YAW_OUT_DQ}",1
84,431614050,"{0,1,2}",21793,2436154,79017172,1262812025.9375,9Ef7HIDlCDcIUmzsAdkP,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
85,431614131,"{0,1,2}",21793,2436154,79008484,1262806175.8125,3j8Pfz2Rw7DXVRrpAovN,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-Y_TR_A_NSUM_OUT_DQ,H1:ASC-AS_A_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",1
86,431614089,"{0,1,2}",21793,2436154,79008481,1262813589.4375,hJjNUFVj8h4mGUym1St9,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-Y_TR_A_NSUM_OUT_DQ,H1:ASC-AS_A_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",1
87,431614113,"{0,1,2}",21793,2436154,79008493,1262799565.9375,3nsITzWw9ot74zToHMIL,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-Y_TR_A_NSUM_OUT_DQ,H1:ASC-AS_A_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",1
88,431614164,"{0,1,2}",21793,2436154,79008492,1262799565.9375,3nsITzWw9ot74zToHMIL,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,H1:ASC-DHARD_P_OUT_DQ,H1:ASC-AS_B_RF45_I_YAW_OUT_DQ}",1
89,431614182,"{0,1,2}",21793,2436154,79008478,1262805914.125,zGK01vjw7mR4MFnyWSWL,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-Y_TR_A_NSUM_OUT_DQ,H1:ASC-AS_A_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",1
90,431614199,"{0,1,2}",21793,2436154,79008495,1262807482.625,nTEknDf9kiq0q6cx4INd,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,H1:ASC-DHARD_P_OUT_DQ,H1:ASC-AS_B_RF45_I_YAW_OUT_DQ}",1
91,431614216,"{0,1,2}",21793,2436154,79008497,1262798568.5625,VmEQev5Ze9ZtMEkMYqs7,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
92,431614232,"{0,1,2}",21793,2436154,79008473,1262796455.125,i9t3EFYyJmNCi2xdJlvn,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
93,431614241,"{0,1,2}",21793,2436154,79008477,1262805914.125,zGK01vjw7mR4MFnyWSWL,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_Q_PIT_OUT_DQ,H1:ASC-DHARD_P_OUT_DQ,H1:ASC-AS_B_RF45_I_YAW_OUT_DQ}",1
94,431614260,"{1,2}",21793,2436154,79008475,1262796455.125,i9t3EFYyJmNCi2xdJlvn,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-AS_A_RF45_I_YAW_OUT_DQ,H1:ASC-AS_A_RF45_I_PIT_OUT_DQ}",1
95,431614276,"{0,1,2}",21793,2436154,79008485,1262814241.4375,v7PTMKTSIX3bfo5EJVvB,H1,H1:GDS-CALIB_STRAIN,None,"{H1:ASC-DHARD_Y_OUT_DQ,H1:ASC-AS_A_RF45_Q_YAW_OUT_DQ,H1:LSC-POP_A_LF_OUT_DQ}",1
